"JAHR","WOCHE","RAUMBEZUG","MERKMAL","WERT"
2020,46,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",21
2020,46,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",20
2020,46,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",74
2020,46,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",107
2020,46,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",27
2020,47,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",13
2020,47,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",16
2020,47,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",57
2020,47,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",120
2020,47,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",32
2020,48,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",14
2020,48,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",18
2020,48,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",55
2020,48,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",83
2020,48,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",19
2020,49,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",12
2020,49,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",14
2020,49,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",47
2020,49,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",84
2020,49,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",26
2020,50,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",18
2020,50,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",14
2020,50,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",76
2020,50,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",180
2020,50,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",27
2020,51,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",19
2020,51,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",13
2020,51,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",95
2020,51,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",180
2020,51,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",86
2020,52,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",8
2020,52,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",9
2020,52,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",108
